agency_id,ra_id
CA6314,R662240
MO2038,R369597
MD1015,R654776
MD1092,R807273
MO2038,R552683
MD1015,R547074
MD0774,R086291
TX7024,R363823
CA6314,R730947
MD1092,R466328
CA5149,R823302
MO2038,R936989
MD1015,R822310
CA0105,R019633
CA6314,R545015
CA6314,R654776
MD0774,R019633
MD0774,R989055
CA6314,R785213
TX2099,R377511
CA6314,R019633
TX2099,R995540
CA0105,R654776
MD1092,R286284
MD1092,R469861
TX7024,R369597
TX7024,R210116
CA6314,R210116
MD0774,R369597
MO2038,R242531
TX2099,R049070
CA0105,R382995
CA6314,R364982
TX2099,R730947
MD0774,R758625
CA5149,R019633
CA6314,R382995
MD1092,R897663
MD0774,R007401
CA0105,R730947
MO2038,R654776
TX7024,R038781
MO2038,R989055
CA0105,R545015
MD1015,R029631
MO2038,R019633
CA6314,R369597
TX2099,R364982
MD1092,R068987
MD0774,R244384
CA6314,R951585
MD1092,R989055
MD1092,R654776
MD1092,R475434
TX7024,R156887
TX2099,R020129
TX7024,R019633
MD1092,R210116
CA5149,R758625
CA0105,R068987
MD1092,R377511
MD1015,R730947
TX2099,R012676
MD0774,R545015
TX7024,R475434
TX2099,R921633
MO2038,R951585
MD1015,R662240
CA6314,R823302
TX2099,R871829
MD0774,R224004
MO2038,R364982
TX7024,R242531
CA5149,R546320
CA6314,R587540
CA5149,R377511
CA5149,R244384
TX2099,R244384
TX7024,R545015
CA0105,R823302
CA5149,R049070
CA5149,R012676
MD1092,R019633
MD1092,R363823
CA0105,R662240
MD1015,R210116
TX7024,R286284
MD1015,R244384
