ra_id,office_name,rent_amount,end_month,end_day,end_year
R758625,Pacific Rim,42000,1,14,2044
R242531,Mid-Atlantic,185000,7,10,2041
R049070,New England,962000,7,10,2047
R921633,The Heartland,957000,12,31,2042
R547074,The Heartland,757000,8,29,2033
R730947,Southeast Sunbelt,314000,12,21,2046
R545015,New England,992000,3,1,2041
R086291,Southeast Sunbelt,183000,4,26,2029
R029631,New England,155000,6,20,2046
R807273,Northwest Arctic,28000,5,31,2020
R377511,Pacific Rim,160000,4,30,2032
R364982,Greater Southwest,562000,1,21,2021
R546320,Great Lakes,980000,8,31,2050
R936989,Mid-Atlantic,972000,12,17,2035
R833707,Greater Southwest,427000,9,13,2037
R897663,National Capital,1000000,4,28,2032
R419208,Mid-Atlantic,445000,7,14,2023
R871829,The Heartland,616000,1,25,2049
R469861,Rocky Mountain,135000,11,22,2021
R286284,New England,656000,4,16,2041
R662240,National Capital,530000,12,27,2021
R475434,Mid-Atlantic,870000,8,8,2030
R785213,Pacific Rim,561000,7,19,2046
R020129,Great Lakes,132000,2,9,2038
R012676,Great Lakes,880000,6,13,2034
R904823,Rocky Mountain,312000,5,27,2024
R466328,Mid-Atlantic,6000,6,5,2029
R038781,Great Lakes,472000,1,15,2021
R716353,Mid-Atlantic,614000,11,25,2034
R450684,Mid-Atlantic,126000,12,3,2026
R007401,Northwest Arctic,211000,7,19,2025
R019633,Rocky Mountain,211000,2,2,2030
R596619,New England,289000,1,3,2034
R068987,Southeast Sunbelt,995000,6,22,2024
R823302,Great Lakes,362000,9,31,2039
R363823,Mid-Atlantic,623000,7,2,2028
R951585,Greater Southwest,818000,6,5,2034
R382995,Northwest Arctic,312000,8,25,2035
R822310,Great Lakes,976000,9,13,2048
R096476,New England,320000,8,15,2040
R995540,Pacific Rim,941000,11,8,2038
R244384,Northeast and Caribbean,479000,6,14,2044
R587540,Greater Southwest,378000,2,31,2036
R654776,Rocky Mountain,840000,12,3,2048
R210116,National Capital,966000,12,22,2020
R224004,The Heartland,673000,12,2,2032
R156887,Rocky Mountain,219000,5,12,2032
R369597,New England,755000,7,1,2046
R552683,Northeast and Caribbean,821000,1,19,2020
R989055,Rocky Mountain,431000,12,18,2031
